;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];70;0;3
true: [-1.5%, 1.5%];62;0;2
true: [1.5%, inf%];100;2;4
